"   MODEL_1"

"Time      "	"U1Rx      "	"U1Rz      "	"U2Rx      "	"U2Rz      "	"U3Rx      "	"U3Rz      "	"acl_x_local"	"acl_y_local"	"acl_z_local"	"alpha_x_global"	"alpha_y_global"	"alpha_z_global"	"J1_fx     "	"J1_fy     "	"J1_fz     "	"J1_MEA_1  "	"J2_fx     "	"J2_fy     "	"J2_fz     "	"J3_fx     "	"J3_fy     "	"J3_fz     "	"omega_x_global"	"omega_y_global"	"omega_z_global"	"J1_ax     "	"J1_ay     "	"J1_az     "	"J1_rx     "	"J1_ry     "	"J1_rz     "	"J1_vx     "	"J1_vy     "	"J1_vz     "	"J2_ax     "	"J2_ay     "	"J2_az     "	"J2_rx     "	"J2_ry     "	"J2_rz     "	"J2_vx     "	"J2_vy     "	"J2_vz     "	"J3_ax     "	"J3_ay     "	"J3_az     "	"J3_rx     "	"J3_ry     "	"J3_rz     "	"J3_vx     "	"J3_vy     "	"J3_vz     "
0.000000e+00	-4.785731e-03	1.097263e+00	-3.921711e-01	-1.055333e+00	6.421899e-01	8.218132e-01	-4.395798e-16	5.337408e-18	6.289924e-17	6.064798e-01	9.749886e-01	2.491465e+00	-1.324585e+05	6.991102e+04	1.301651e+04	6.289924e-17	1.976992e+05	1.014470e+05	-8.204493e+04	-7.630757e+04	6.697738e+04	5.280974e+04	9.916687e-01	8.907341e-01	1.534010e+00	-1.959226e-01	-3.703210e-01	2.514180e+00	-4.385956e-01	4.867087e-01	-3.985007e-01	-1.959226e-01	-3.703210e-01	2.514180e+00	-4.160579e+00	2.057520e+01	1.756217e+00	4.522656e-01	4.870615e-01	-2.705702e-01	-8.251173e-02	8.694041e-01	1.721009e+00	5.163450e-02	1.857069e+01	6.021454e-02	-3.468538e-01	4.254128e-01	3.698263e-01	5.824810e-01	-9.915140e-01	2.371677e+00
5.000000e-03	-4.464551e-02	1.094081e+00	-4.209101e-01	-1.056705e+00	6.157059e-01	8.280677e-01	4.847498e-03	-5.470347e-03	-3.132021e-02	-2.485331e+00	1.956879e+00	8.941729e-01	-1.392774e+05	7.475062e+04	9.644212e+03	-3.132021e-02	1.980661e+05	9.761130e+04	-8.427611e+04	-7.376359e+04	6.563852e+04	4.804603e+04	9.848178e-01	8.980721e-01	1.538788e+00	-2.008339e-01	-3.043400e-01	2.513489e+00	-4.395958e-01	4.850749e-01	-3.859307e-01	-2.008339e-01	-3.043400e-01	2.513489e+00	-4.014704e+00	1.941040e+01	-1.538331e+00	4.518017e-01	4.916585e-01	-2.619664e-01	-9.963586e-02	9.452497e-01	1.719434e+00	7.468748e-01	2.072103e+01	-2.252105e+00	-3.439380e-01	4.207014e-01	3.816666e-01	5.875810e-01	-9.130863e-01	2.364186e+00
1.000000e-02	-8.391349e-02	1.090794e+00	-4.501647e-01	-1.058369e+00	5.896743e-01	8.344270e-01	-7.119609e-01	5.688870e-01	-7.984994e-02	-4.913008e+00	2.846575e+00	-8.195970e-01	-1.325584e+05	7.222342e+04	5.330008e+03	-7.984994e-02	1.799855e+05	8.489021e+04	-7.835955e+04	-6.351308e+04	5.720695e+04	3.884116e+04	9.628356e-01	9.116441e-01	1.536736e+00	-2.073119e-01	-2.257570e-01	2.501275e+00	-4.406353e-01	4.838724e-01	-3.734102e-01	-2.073119e-01	-2.257570e-01	2.501275e+00	-3.399511e+00	1.532407e+01	-4.344040e+00	4.512402e-01	4.967249e-01	-2.534398e-01	-1.176924e-01	1.029308e+00	1.700577e+00	1.792158e+00	1.962600e+01	-4.116724e+00	-3.409936e-01	4.165280e-01	3.934250e-01	5.952594e-01	-8.109702e-01	2.345596e+00
1.500000e-02	-1.223702e-01	1.087412e+00	-4.796216e-01	-1.060311e+00	5.642886e-01	8.409432e-01	-1.125693e+00	8.848366e-01	-1.429131e-01	-6.996227e+00	3.383352e+00	-2.116721e+00	-1.284698e+05	7.094128e+04	1.453327e+03	-1.429131e-01	1.666815e+05	7.498393e+04	-7.406212e+04	-5.607939e+04	5.103502e+04	3.212234e+04	9.279781e-01	9.287834e-01	1.526023e+00	-2.113917e-01	-1.632903e-01	2.478464e+00	-4.417117e-01	4.830849e-01	-3.610243e-01	-2.113917e-01	-1.632903e-01	2.478464e+00	-3.031607e+00	1.231662e+01	-6.632887e+00	4.505875e-01	5.022047e-01	-2.451077e-01	-1.329076e-01	1.090810e+00	1.667454e+00	2.339485e+00	1.906077e+01	-5.704290e+00	-3.379979e-01	4.129498e-01	4.050204e-01	6.071257e-01	-7.158935e-01	2.317053e+00
2.000000e-02	-1.599180e-01	1.083946e+00	-5.090775e-01	-1.062511e+00	5.396394e-01	8.476660e-01	7.908024e-02	-1.543530e-01	-4.521234e-02	-1.048711e+01	4.910173e+00	-3.663030e+00	-1.539812e+05	8.604364e+04	-2.674856e+03	-4.521234e-02	1.895241e+05	8.105239e+04	-8.570724e+04	-6.022108e+04	5.526574e+04	3.222864e+04	8.757304e-01	9.536770e-01	1.507496e+00	-2.180858e-01	-8.417464e-02	2.442155e+00	-4.428220e-01	4.826919e-01	-3.488197e-01	-2.180858e-01	-8.417464e-02	2.442155e+00	-3.350094e+00	1.459539e+01	-1.089337e+01	4.498504e-01	5.080480e-01	-2.370475e-01	-1.497153e-01	1.163643e+00	1.613039e+00	2.777283e+00	2.490500e+01	-8.284091e+00	-3.349300e-01	4.099912e-01	4.164083e-01	6.212906e-01	-5.916614e-01	2.275595e+00
2.500000e-02	-1.964785e-01	1.080406e+00	-5.383631e-01	-1.064956e+00	5.157869e-01	8.546295e-01	9.458993e-02	-1.864410e-01	-3.461661e-02	-1.242007e+01	5.689399e+00	-4.879839e+00	-1.557854e+05	8.796400e+04	-7.131845e+03	-3.461661e-02	1.829048e+05	7.411850e+04	-8.393780e+04	-5.416112e+04	5.002515e+04	2.701102e+04	8.138502e-01	9.825299e-01	1.482836e+00	-2.242651e-01	-1.001093e-02	2.397857e+00	-4.439636e-01	4.826685e-01	-3.368363e-01	-2.242651e-01	-1.001093e-02	2.397857e+00	-3.124777e+00	1.263906e+01	-1.339319e+01	4.490347e-01	5.142054e-01	-2.293215e-01	-1.653926e-01	1.226659e+00	1.546126e+00	3.270652e+00	2.524519e+01	-9.794269e+00	-3.317769e-01	4.076606e-01	4.275510e-01	6.379929e-01	-4.657531e-01	2.226585e+00
3.000000e-02	-2.319895e-01	1.076800e+00	-5.673308e-01	-1.067635e+00	4.927709e-01	8.618578e-01	1.091924e-01	-2.100876e-01	-2.453598e-02	-1.397884e+01	6.234143e+00	-5.880008e+00	-1.561512e+05	8.897749e+04	-1.153331e+04	-2.453598e-02	1.751252e+05	6.702667e+04	-8.131505e+04	-4.804121e+04	4.457233e+04	2.226641e+04	7.441981e-01	1.014154e+00	1.453132e+00	-2.300022e-01	5.850195e-02	2.346840e+00	-4.451343e-01	4.829864e-01	-3.251078e-01	-2.300022e-01	5.850195e-02	2.346840e+00	-2.935942e+00	1.067066e+01	-1.544974e+01	4.481451e-01	5.206275e-01	-2.219813e-01	-1.801136e-01	1.279808e+00	1.468929e+00	3.573262e+00	2.516181e+01	-1.105874e+01	-3.285303e-01	4.059556e-01	4.384168e-01	6.562653e-01	-3.402706e-01	2.171259e+00
3.500000e-02	-2.664037e-01	1.073136e+00	-5.958561e-01	-1.070538e+00	4.706136e-01	8.693663e-01	1.230180e-01	-2.259202e-01	-1.526495e-02	-1.518164e+01	6.543869e+00	-6.673810e+00	-1.552564e+05	8.917227e+04	-1.576896e+04	-1.526495e-02	1.666068e+05	6.003423e+04	-7.803943e+04	-4.206992e+04	3.913383e+04	1.807017e+04	6.685437e-01	1.047360e+00	1.419420e+00	-2.353275e-01	1.209559e-01	2.290311e+00	-4.463319e-01	4.836150e-01	-3.136616e-01	-2.353275e-01	1.209559e-01	2.290311e+00	-2.777201e+00	8.745182e+00	-1.706381e+01	4.471858e-01	5.272660e-01	-2.150671e-01	-1.940227e-01	1.323318e+00	1.383659e+00	3.699204e+00	2.472887e+01	-1.209141e+01	-3.251868e-01	4.048657e-01	4.489801e-01	6.752115e-01	-2.169477e-01	2.110781e+00
4.000000e-02	-2.998291e-01	1.069426e+00	-6.240060e-01	-1.073658e+00	4.492262e-01	8.771712e-01	6.438568e-02	-1.144322e-01	-3.665941e-03	-1.572310e+01	6.753331e+00	-7.218435e+00	-1.512712e+05	8.748080e+04	-1.950846e+04	-3.665941e-03	1.554012e+05	5.253604e+04	-7.322883e+04	-3.530651e+04	3.287014e+04	1.400783e+04	5.792708e-01	1.088738e+00	1.378804e+00	-2.431907e-01	1.963757e-01	2.222846e+00	-4.475526e-01	4.845398e-01	-3.024758e-01	-2.431907e-01	1.963757e-01	2.222846e+00	-2.578573e+00	6.598834e+00	-1.805015e+01	4.461608e-01	5.341066e-01	-2.085636e-01	-2.092879e-01	1.374230e+00	1.278540e+00	3.816551e+00	2.345058e+01	-1.264801e+01	-3.217428e-01	4.043589e-01	4.592610e-01	6.966945e-01	-7.140915e-02	2.039426e+00
4.500000e-02	-3.322084e-01	1.065678e+00	-6.516652e-01	-1.076988e+00	4.286339e-01	8.852743e-01	5.341418e+00	-4.071877e+00	1.024840e+00	-2.709016e+01	1.355914e+01	-1.267163e+01	-2.610723e+05	1.518737e+05	-4.072657e+04	1.024840e+00	2.521529e+05	7.969757e+04	-1.192083e+05	-4.762271e+04	4.429856e+04	1.739246e+04	4.807716e-01	1.133863e+00	1.332786e+00	-2.518329e-01	2.727638e-01	2.147077e+00	-4.487946e-01	4.857296e-01	-2.915785e-01	-2.518329e-01	2.727638e-01	2.147077e+00	-4.165511e+00	1.658605e+01	-3.413265e+01	4.450731e-01	5.411027e-01	-2.025040e-01	-2.246350e-01	1.421274e+00	1.160175e+00	5.903732e+00	4.532887e+01	-2.179511e+01	-3.182011e-01	4.044216e-01	4.692331e-01	7.191895e-01	8.104039e-02	1.959911e+00
